"BusTID","InternalNo","BusPlate","SIMCode"
"40288dee5b476aa5015b61a980100700","80704","粤G58202",""
"40288dee5b476aa5015b61a8e70706fe","80703","粤G58269",""
"40288dee5b476aa5015b61a83ab306fc","80702","粤G58263",""
"40288dee5b476aa5015b61a7a49b06fa","80701","粤G58268","8986011626520021233S"
"40288dee5b476aa5015b61b0e716070c","80710","粤G58205",""
"40288dee5b476aa5015b61b18293070e","80711","粤G58216",""
"40288dee5b476aa5015b61b20d790710","80712","粤G58211",""
"40288dee5b476aa5015b61b2a5bc0712","80713","粤G58248",""
"40288dee5b476aa5015b61b32af00714","80714","粤G58203","8986011474520008540S"
"40288dee5b476aa5015b6556b3b80716","80715","粤G58231","8986011474520008537S"
"40288dee5b476aa5015b6557706f0718","80716","粤G58200",""
"40288dee5b476aa5015b5b7268440362","80601","粤G47137",""
"40288dee5b476aa5015b5b7322550364","80602","粤G47161",""
"40288dee5b476aa5015b5b7411d70366","80603","粤G47162",""
"40288dee5b476aa5015b5b74ba750368","80604","粤G47130",""
"40288dee5b476aa5015b5b7585dd036a","80605","粤G47131",""
"40288dee5b476aa5015b5b7656a8036c","80606","粤G47102",""
"40288dee5b476aa5015b5b68fb24034e","80501","粤G47101",""
"40288dee5b476aa5015b5b69fd330350","80502","粤G47146",""
"40288dee5b476aa5015b5b6b18cc0352","80503","粤G47132",""
"40288dee5b476aa5015b5b6be3a40354","80504","粤G47041",""
"40288dee5b476aa5015b5b6ca4cc0356","80505","粤G47181",""
"40288dee5b476aa5015b5b6da2970358","80506","粤G47198",""
"40288dee5b476aa5015b5b6ec390035a","80507","粤G47135",""
"40288dee5b476aa5015b5b6f9f47035c","80508","粤G47226",""
"40288dee5b476aa5015b5b70869d035e","80509","粤G47051",""
"40288dee5b476aa5015b5b7179310360","80510","粤G47733",""
"40288dee5b476aa5015b6007748a0539","80409","粤G45942",""
"40288dee5b476aa5015b5ff058a50537","80408","粤G45902",""
"40288dee5b476aa5015b5fef90df0535","80407","粤G45943",""
"40288dee5b476aa5015b5feebdc10533","80405","粤G49048",""
"40288dee5b476aa5015b5fedde500531","80404","粤G45751",""
"40288dee5b476aa5015b5fecf97a052f","80403","粤G49183",""
"40288dee5b476aa5015b5fec266e052d","80402","粤G47163",""
"40288dee5b476aa5015b5feb1e0a052b","80401","粤G47120",""
"40288dee5b476aa5015b5fddcae1050f","80201","粤G47182",""
"40288dee5b476aa5015b5fdea5280511","80202","粤G47216",""
"40288dee5b476aa5015b5fdf82240513","80203","粤G49001",""
"40288dee5b476aa5015b5fe0ff170515","80204","粤G49078",""
"40288dee5b476aa5015b5fe1f5760517","80205","粤G46147",""
"40288dee5b476aa5015b5fe2d3c20519","80206","粤G47833",""
"40288dee5b476aa5015b5fe45251051b","80207","粤G47842",""
"40288dee5b476aa5015b5fe53b30051d","80208","粤G47541",""
"40288dee5b476aa5015b5fe5f35f051f","80209","粤G49068",""
"40288dee5b476aa5015b5fe7090c0521","80210","粤G49178",""
"40288dee5b476aa5015b5fe7e2c10523","80211","粤G47166",""
"40288dee5b476aa5015b5fe8b0f70525","80212","粤G47177",""
"40288dee5b476aa5015b5fe96f590527","80216","粤G49186",""
"40288dee5b476aa5015b5fea1dd20529","80217","粤G49198",""
"40288dee5b476aa5015b61a2037706ec","80101","粤G47217",""
"40288dee5b476aa5015b61a2b59d06ee","80102","粤G47218",""
"40288dee5b476aa5015b61a37ac206f0","80103","粤G47180",""
"40288dee5b476aa5015b61a40e8206f2","80104","粤G47167",""
"40288dee5b476aa5015b61a4b0d706f4","80105","粤G47201",""
"40288dee5b476aa5015b61a5626906f6","80106","粤G47187",""
"40288dee5b476aa5015b61a6a8d806f8","80107","粤G47737",""
"40288dee5b476aa5015b5c78a97804c9","4801","粤G58509","8986011626520021173"
"40288dee5b476aa5015b5c7980b804cb","4802","粤G58467","8986011626520021174"
"40288dee5b476aa5015b5c7ae67c04cd","4803","粤G58476","8986011626520021175"
"40288dee5b476aa5015b5c7cc71d04cf","4804","粤G58572","8986011626520021168"
"40288dee5b476aa5015b5c7dc8e704d1","4805","粤G58578","8986011626520021170"
"40288dee5b476aa5015b5c819fb304d3","4806","粤G58505","8986011626520021166"
"40288dee5b476aa5015b5c855b2f04d9","4809","粤G58542",""
"40288dee5b476aa5015b5c8466fa04d7","4808","粤G58507","8986011626520021169"
"40288dee5b476aa5015b5c8331f804d5","4807","粤G55555",""
"40288dee5b476aa5015b5c86ab5804db","4810","粤G58550","8986011626520021171"
"40288dee5b476aa5015b5c87aa0904dd","4811","粤G58571","8986011626520021164"
"40288dee5b476aa5015b5c88ea7d04df","4812","粤G58452","8986011626520021172"
"40288dee5b476aa5015b6192b4ca06ce","7314","粤G56918","8986011372520019185L"
"40288dee5b476aa5015b6192143a06cc","7312","粤G56839","8986011474520002075S"
"40288dee5b476aa5015b61918dd506ca","7310","粤G56431","8986011474520008579S"
"40288dee5b476aa5015b6190efd806c8","7309","粤G56876","8986011626520021227S"
"40288dee5b476aa5015b61906ec006c6","7308","粤G56898","8986011372520019170L"
"40288dee5b476aa5015b618fe77a06c4","7307","粤G56867","8986011626520021228S"
"40288dee5b476aa5015b618f451106c2","7306","粤G56909","8986011474520002093S"
"40288dee5b476aa5015b618ea91a06c0","7305","粤G56890","8986011485104264638S"
"40288dee5b476aa5015b618e1fdc06be","7304","粤G56837","8986011474520008601S"
"40288dee5b476aa5015b618d8b0c06bc","7303","粤G56858","8986011372520019202L"
"40288dee5b476aa5015b618cef2506ba","7302","粤G56882","8986011372520019291L"
"40288dee5b476aa5015b618c5a5506b8","7301","粤G56821","8986011372520019187L"
"40288dee5b476aa5015b5d9ce4e7050d","07202","粤G52346","14546994996"
"40288dee5b476aa5015b5d9bca5a050b","7201","粤G50000","14546995140"
"40288dee5b476aa5015b604e587d0591","0509","粤G58341","8986011626520021192"
"40288dee5b476aa5015b6036a33d058f","0508","粤G58529","8986011674520048348"
"40288dee5b476aa5015b6035c87d058d","0507","粤G58437","8986011626520021150"
"40288dee5b476aa5015b6034882f058b","0506","粤G58532","8986011626520021148"
"40288dee5b476aa5015b6032f86f0589","0505","粤G58502","8986011626520021149"
"40288dee5b476aa5015b603245650587","0504","粤G58533","8986011626520021147"
"40288dee5b476aa5015b603159410585","0503","粤G57451","8986011626520021178"
"40288dee5b476aa5015b603066840583","0502","粤G58541","8986011674520048347"
"40288dee5b476aa5015b602fa03a0581","0501","粤G58548","8986011674520048346"
"40288dee5b476aa5015b6057a6730593","0510","粤G58517","8986011626520021196"
"40288dee5b476aa5015b60589a180595","0511","0511","14546971911"
"40288dee5b476aa5015b605960f50597","0513","粤G58435","8986011626520021190"
"40288dee5b476aa5015b605a0f470599","0514","粤G58473",""
"40288dee5b476aa5015b605ac2ff059b","0515","粤G58535","8986011626520021199"
"40288dee5b476aa5015b605b764d059d","0516","粤G58475","8986011674520048353"
"40288dee5b476aa5015b605c6bb5059f","0517","粤G58479","8986011626520021189"
"40288dee5b476aa5015b605d9c8b05a1","0518","粤G58416",""
"40288dee5b476aa5015b605e6d6b05a3","0519","粤G56752",""
"40288dee5b476aa5015b605f674105a5","0520","粤G58407","8986011626520021195"
"40288dee5b476aa5015b619f0e0206ea","4606","粤G58526","8986011674520048471"
"40288dee5b476aa5015b619e896406e8","4605","粤G58413","8986011674520048356"
"40288dee5b476aa5015b619df24f06e6","4604","粤G58453",""
"40288dee5b476aa5015b619d5dca06e4","4603","粤G58510","8986011674520048473"
"40288dee5b476aa5015b619cad0f06e2","4602","粤G58477","8986011674520048476"
"40288dee5b476aa5015b61994cfb06e0","4601","粤G58427","8986011674520048477"
"40288dee5b476aa5015b5b649209034a","3505","粤G58405","14546994968"
"40288dee5b476aa5015b5b636c770348","3504","粤G58417","14546971691"
"40288dee5b476aa5015b5b61e5990344","3502","粤G57341","14546971457"
"40288dee5b476aa5015b5b60eec50342","3414","粤G56647","8986011626520021231S"
"40288dee5b476aa5015b5b60354d0340","4404","粤G50002","14546971705"
"40288dee5b476aa5015b5b5efbcb033e","3501","粤G57401","14546971629"
"40288dee5b476aa5015b5b3fb186033c","4402","粤G50001","14546971689"
"40288dee5b476aa5015b5b3dc315033a","2309","粤G56901","14546995429"
"40288dee5b476aa5015b5c5540be0491","4301","粤G58543","8986011674520048508"
"40288dee5b476aa5015b5c55ebcc0493","4302","粤G58556","8986011674520048507"
"40288dee5b476aa5015b5c56a6df0495","4303","粤G58521","8986011674520048506"
"40288dee5b476aa5015b5c5748720497","4304","粤G58472","8986011626520021186"
"40288dee5b476aa5015b5c57f3920499","4305","粤G58511","8986011626520021254"
"40288dee5b476aa5015b5c58dfa4049b","4306","粤G56581","14529702318"
"40288dee5b476aa5015b5c59cbb6049d","4307","粤G54942","14546971768"
"40288dee5b476aa5015b5c5a9d62049f","4308","粤G58493","8986011626520021184"
"40288dee5b476aa5015b5c5b577304a1","4309","粤G58460",""
